Organization Name,Organization Name URL,Actively Hiring,Founded Date,Founded Date Precision,Number of Employees,Full Description,Industries,Headquarters Location,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Description,CB Rank (Company),Last Funding Date,Funding Status,Number of Funding Rounds,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD)
Cloudworx,https://www.crunchbase.com/organization/cloudworx-aaf1,,2019-12-18,day,11-50,"Going through tons of graphs, charts, and dashboards is very cumbersome and painful for business owners. That's why they are adopting the Enterprise Metaverse in the form of Digital twins. From a survey conducted by Gartner, 75% of businesses want to implement digital twins, but only 13% have implemented it so far; the other 62% have it on their roadmap but find it hard or don't have the direct skill set in the team to implement it. After all, it's not a simple task to create a working, scalable, and living virtual replica of your factories in 3D. It's really complicated, requires a specialized 3D development team and specialized engineers to do the job; thus out of the reach of many businesses. This is where we step in to bridge the gap by bringing the capabilities of NoCode into a 3D workspace that allows businesses to build 3D apps without writing any code or having to depend on a 3D team.","3D Technology, Internet of Things, SaaS, Software","Bangalore, Karnataka, India",,,,Nocode platform for building Enterprise Metaverse applications,"92,772",2022-10-13,Seed,2,Seed,,,
Latence Technologies Inc.,https://www.crunchbase.com/organization/latence-technologies,,2020-02-14,day,1-10,"LatenceTech provides a solution for analyzing, monitoring and predicting the quality of service of 5G cellular networks with a focus on latency. Using SaaS and AI, our solution helps mobile operators, telecom OEMs and leading industries track, predict and secure the new benefits of 5G cellular technology. Many new innovative services (robotaxis, teleoperations, telemedicine, metaverse) will require sustained low-latency connectivity to generate benefits, if latency varies too much, these services become unusable or even dangerous. At LatenceTech, we offer a SaaS analytics to monitor, predict and monetize 5G low-latency connectivity to support industrial and consumer innovation.","Enterprise Software, SaaS, Subscription Service, Telecommunications","Montréal, Quebec, Canada",35000,CAD,27629,We help mobile operators innovate and sell latency-optimized 5G connectivity to the industrial sector via our SAAS Analytics solution.,"92,991",2022-06-01,,1,Non-equity Assistance,,,
MetaGameHub DAO,https://www.crunchbase.com/organization/metagamehub-dao,,2021-01-01,year,11-50,"MetaGameHub DAO making NFTs accessible and transparent for everyone. They are navigating the open metaverse together and the land valuation tool is available and providing metaverse development and multiple data-driven tools to foster the development of the open metaverse. The uses include games applications, ads, event venues, art galleries, and cultural hubs.","Blockchain, Cryptocurrency, UX Design",,100000,USD,100000,MetaGameHub DAO building a user-focus homebase development and aggregation for an open metaverse experience.,"93,672",2022-12-14,Seed,2,Seed,100000,USD,100000
OneRare,https://www.crunchbase.com/organization/onerare,,2021-01-01,year,11-50,"OneRare is a food metaverse platform. OneRare features a unique Foodverse, divided over four areas namely Farm, Farmers Market, Kitchen, Playground. Players can explore the metaverse and discover ways to play, earn, collect, and battle.","Blockchain, Farmers Market, Food and Beverage, Online Games, Virtual Reality","Jumairah, Dubai, United Arab Emirates",2000000,USD,2000000,"OneRare is a food metaverse, gaming and NFTs platform.","93,744",2021-11-17,Seed,1,Seed,2000000,USD,2000000
Open Games Builders,https://www.crunchbase.com/organization/open-games-builders,,2022-02-14,day,1-10,"The first MULTIVERSE platform, to connect into the METAVERSES, Play to earn, NFT collections, Real Assets. The first VIRTUAL MUSEUM of the History of life in the METAVERSE.","Education, Sales, Web Development","Valencia, Comunidad Valenciana, Spain",140000,USD,140000,Blockchain. Web 3.0. NFT. Game. Marketplace. Real Assets.,"93,811",2022-10-10,Seed,1,Pre-Seed,140000,USD,140000
Legends Of The Metaverse,https://www.crunchbase.com/organization/legends-of-the-metaverse,,2021-01-05,day,11-50,Web3 Arena Combat & Openworld RPG. Built on Ethereum and scaled w/ ImmutableX,"Blockchain, Cryptocurrency, Gaming",,500000,USD,500000,Web3 Arena Combat & Openworld RPG. Built on Ethereum and scaled w/ ImmutableX,"94,165",2021-10-04,Seed,1,Pre-Seed,500000,USD,500000
MetaVisa,https://www.crunchbase.com/organization/metavisa,,2021-01-01,year,,MetaVisa is a Layer 3 Middleware Protocol that provides a metaverse credit system based on blockchain data. MetaVisa Protocol helps users to establish and display reliable on-chain identity & credit records.,"Blockchain, Ethereum",,5000000,USD,5000000,MetaVisa is a Layer 3 Middleware Protocol that provides a metaverse credit system based on blockchain data.,"94,583",2021-12-01,Seed,1,Seed,5000000,USD,5000000
Martian Republic,https://www.crunchbase.com/organization/martian-republic,,2021-07-01,month,1-10,"Mars virtual reality world that let user able to play many games, working their virtual jobs, investing in land and property, earning money, and decorate or construction their own property. Its totally new world in virtual reality concept.","Cryptocurrency, Gaming, Virtual Reality",,1600000,USD,1600000,"Virtual Reality, Metaverse, Crypto, Gaming, SaaS, Payment.","94,646",2022-03-18,Seed,2,Seed,1600000,USD,1600000
500 seasons,https://www.crunchbase.com/organization/500-seasons,,2022-01-01,month,1-10,"Bringing life to metaverse.  We allow NPCs to get ""souls"" - personality, ability to speak, their life story and connection with others.","Artificial Intelligence, Gaming, Software","Dubai, Dubai, United Arab Emirates",200000,USD,200000,AI Saas for Metaverse,"94,684",2022-05-01,Seed,1,Pre-Seed,200000,USD,200000
IDF3 Crypto Inc.,https://www.crunchbase.com/organization/idf3,,2021-12-01,day,1-10,A middle-eastern-focused DeFi startup with a mission to democratize access to the metaverse and trade of digital assets.,"Blockchain, Mobile Payments","Dubai, Dubai, United Arab Emirates",50000,USD,50000,A middle-eastern-focused DeFi startup with a mission to democratize access to the metaverse and trade of digital assets.,"95,376",2019-03-01,Seed,1,Pre-Seed,50000,USD,50000
mtion,https://www.crunchbase.com/organization/mtion,,2021-01-01,year,1-10,"mtion is a creating the metaverse for gamers to stream from, share with each other, and be in. mtion's platform provides gamers with the tools to create their own personalized 3D spaces in which the can create, build, and socialize with in.","Social Media, Software, Video Games, Video Streaming, Virtual Reality, Virtual World","Kitchener, Ontario, Canada",,,,mtion is building the metaverse for gamers to stream from and share with others.,"95,443",2022-08-15,Seed,3,Pre-Seed,,,
Monkey Kingdom,https://www.crunchbase.com/organization/monkey-kingdom,,2021-01-01,year,11-50,"Monkey Kingdom is a cross-chain NFT project. NFT markets and attracts numerous partnerships with artists and celebrities, while building a tight-knit and passionate community. Their services include NFT, blockchain, play-to-earn, metaverse, community, art, and collectibles.","Blockchain, Cryptocurrency, Gaming","Hong Kong, Hong Kong Island, Hong Kong",300000,USD,300000,Monkey Kingdom is a cross-chain NFT project that provides NFT forms and characters for ethereum.,"95,994",2022-01-01,,1,Undisclosed,300000,USD,300000
VR Realms,https://www.crunchbase.com/organization/vr-realms,,2019-09-01,day,11-50,"VR Realms is a multiverse software development company based out of Sydney. Our platform makes custom immersive experiences achievable for brands and creators of all sizes by reducing the time and resource costs associated with the creation and on-going operation of virtual worlds, while improving functionality, accessibility, and safety for users.","Gamification, Information Technology, Internet, Software, Virtual World","Sydney, New South Wales, Australia",1050000,AUD,744211,Making it easy to create and operate standalone branded experiences in the metaverse.,"96,024",2020-10-15,Seed,1,Pre-Seed,1050000,AUD,744211
The MindKind,https://www.crunchbase.com/organization/the-mindkind-s-l,,2020-11-06,day,1-10,"The MindKind is a software company focused on developing human-like Algorithmic Artificial General Intelligence or ""AAGI"". We make basic and applied research in neuroscience that sets the foundations for our ETR Functional model of the human brain. Starting from that functional model, we have developed our new ETR Cognitive Architecture, upon which we are implementing an AAGI Engine (TMK/AAGI-1). Equipped with an API, it can be easily integrated within already existing commercial devices, such as assistive robotics, personal assistants, videogames and chatbots, among many others. Our first commercial target is developing intelligent and autonomous avatars and NPC capable to work for us within any #Metaverse, and even to be mistaken for humans.","Artificial Intelligence, Machine Learning, Software","Castejón De Sos, Aragon, Spain",140000,EUR,157835,"Artificial General Intelligence (AGI) for the METAVERSE, bringing to life human-like intelligent, autonomous and adaptable avatars and NPC","97,663",2022-02-25,Seed,4,Grant,25000,EUR,29685
TrooVRS,https://www.crunchbase.com/organization/troovrs,,2022-01-01,year,1-10,"trooVRS, an immersive media platform for men to engage with practical knowledge of self-care-focused content across virtual editorial environments, experiences,  and eCommerce/NFTs.  Inspired by the endless possibilities VR, Web3, and blockchain technology create, trooVRS hopes to reinvigorate and transform the world of men's editorial and share a new way to experience content in the metaverse.","Internet, Media and Entertainment, Publishing, Virtual Reality, Virtual World","Miami, Florida, United States",150000,USD,150000,"trooVRS is an immersive media platform for men to engage with self-care-focused content across virtual worlds, experiences, and NFTs.","98,209",2022-04-01,Seed,1,Pre-Seed,150000,USD,150000
Zombie Worldz,https://www.crunchbase.com/organization/zombie-worldz,,2021-01-01,year,1-10,"Zombie World Z is a metaverse combining VR on the BSC, upgraded and developed based on a successful and established Zombie Idle Defense.","Gaming, Video Games, Virtual Reality","Ho Chi Minh City, NA - Vietnam, Vietnam",2000000,USD,2000000,"Zombie World Z is a metaverse combining VR on the BSC, upgraded and developed based on a successful and established Zombie Idle Defense.","98,532",2021-12-13,Seed,1,Seed,2000000,USD,2000000
Desetech Systems,https://www.crunchbase.com/organization/desetech-systems,,2021-02-06,day,11-50,"Desetech Systems SRL is a Dominican technology and media company dedicated to the advancement of metaverse technology from Banking Software, Payment Crypto to Streaming, NFTs and Online Shopping. We are building the Metaverse's infrastructure for the Dominican Republic so its main revenue can remain in land when its advent reaches our island.  Blocklite, VeoStream/Shop, Wyse Payment Engine/R2 the other Network, Your Favorite Tiktoker (TikTok Pro) and many more buzz trademark brands are part of our exclusive ecosystem.  Desetech Systems and its ecosystems are already preparing for initial expansion to Colombia and Argentina for 2023 and 2024 before taking over the world in 2025.","Cryptocurrency, Film Production, Information Technology, Media and Entertainment, Payments, Software, TV Production, Video Streaming","Santo Domingo, Distrito Nacional, Dominican Republic",405000,USD,405000,Desetech Systems SRL is a Dominican technology and media company dedicated to the advancement of metaverse technology.,"98,643",2021-02-06,M&A,1,Seed,405000,USD,405000
